"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"541","@backlon @Delta Um... that's a... slight increase alright <ed><U+00A0><U+00BD><ed><U+00B8><U+00B6>",FALSE,0,"backlon",2017-09-26 16:46:44,FALSE,"912718846015938560","912720102637821952","1090141","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","c_davies",0,FALSE,FALSE,NA,NA
"542","What?! That's a shame and so unobtainable @Delta @AskAmex https://t.co/AbhyEEqfpq",FALSE,1,NA,2017-09-26 16:46:34,FALSE,NA,"912720061814726656",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CrystalInCLE",0,FALSE,FALSE,NA,NA
"543","@tlionelli @backlon @Delta Insane, if true",FALSE,0,"tlionelli",2017-09-26 16:46:32,FALSE,"912719737888571393","912720052469760000","14133512","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for i<U+039F>S</a>","mrglu",0,FALSE,FALSE,NA,NA
"544","@holman @Delta All airlines are headed this way. Loyalty programs are getting worse not better.",FALSE,0,"jrhunt",2017-09-26 16:46:23,FALSE,"912719927215190016","912720015052304384","14157064","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jrhunt",0,FALSE,FALSE,NA,NA
"545","@delta with seats available!",FALSE,0,"Delta",2017-09-26 16:46:06,FALSE,NA,"912719942868455424","5920532","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","industrialmom",0,FALSE,FALSE,NA,NA
"546","@jeneps @Delta I mean I get raising the threshold. But that's a BIG raise.",FALSE,0,"jeneps",2017-09-26 16:46:05,FALSE,"912719639045660673","912719939416535041","45399148","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lizzieohreally",0,FALSE,FALSE,NA,NA
"547","RT @rickilee: Hey @delta diamond members, if you're willing to pay $250k on a credit card, wanna go splits and buy a jet we can share? http…",FALSE,0,NA,2017-09-26 16:46:03,FALSE,NA,"912719931246043140",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PointsFitness",3,TRUE,FALSE,NA,NA
"548","On board another @delta rocket with an awesome captain. Well done sir. (@ Concourse A - @indairport) https://t.co/8WmjQz0ngU",FALSE,0,NA,2017-09-26 16:46:03,FALSE,NA,"912719929845133313",NA,"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>","JonathanESmith",0,FALSE,FALSE,"-86.29573467","39.71497056"
"549","@Delta @Expedia Shame on u for not mkin allowances to your polices 4 ppl who had vacations planned to pr. save the seats for the ppl of pr!",FALSE,0,"Delta",2017-09-26 16:46:03,FALSE,NA,"912719929811636224","5920532","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bkchocolatedoll",0,FALSE,FALSE,NA,NA
"550","@holman @Delta They’re trying to switch everyone to MQDs - they should have just dropped the waiver for diamond ent… https://t.co/Jq8ae3M56o",FALSE,0,"holman",2017-09-26 16:46:02,TRUE,"912714743428739073","912719927215190016","11322372","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jrhunt",0,FALSE,FALSE,NA,NA
"551","@lizzieohreally @Delta The 1% baby.",FALSE,0,"lizzieohreally",2017-09-26 16:46:00,FALSE,"912719062412689408","912719917207695360","51462013","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OhMrCarter",0,FALSE,FALSE,NA,NA
"552","@GoldboxATL @mpls_jayhawk @DavidSchmeichel @Delta Also, dropping 250k just to get diamond is stupid. Better putting… https://t.co/l2qQDycaOi",FALSE,0,"GoldboxATL",2017-09-26 16:45:58,TRUE,"912718240199188480","912719907967700992","762136424","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fakerenespoints",0,FALSE,FALSE,NA,NA
"553","RT @rickilee: Hey @delta diamond members, if you're willing to pay $250k on a credit card, wanna go splits and buy a jet we can share? http…",FALSE,0,NA,2017-09-26 16:45:33,FALSE,NA,"912719802346737666",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","larrylynch",3,TRUE,FALSE,NA,NA
